Customer_ID,Gender,Age,Married,State,Number_of_Referrals,Tenure_in_Months,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
11340-JAM,Female,21,No,Jammu & Kashmir,8,7,None,Yes,No,No,None,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.95,219.5,0,0,78.6,298.1,Stayed,Others,Others
11348-MAH,Female,46,No,Maharashtra,11,19,Deal 3,Yes,No,Yes,Cable,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,56.05,1522.65,0,110,1235.08,2867.73,Stayed,Others,Others
11359-AND,Female,28,Yes,Andhra Pradesh,3,6,Deal 4,Yes,No,No,None,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,290.55,0,0,435.84,726.39,Stayed,Others,Others
11370-TAM,Female,21,No,Tamil Nadu,15,10,Deal 4,Yes,No,Yes,Cable,No,No,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,59.1,772.85,0,0,476.14,1248.99,Stayed,Others,Others
11392-JAM,Female,39,Yes,Jammu & Kashmir,11,1,Deal 2,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,84.4,4484.05,0,0,1655.64,6139.69,Stayed,Others,Others
11392-KAR,Female,28,Yes,Karnataka,9,32,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,112.55,7806.5,0,0,235.29,8041.79,Stayed,Others,Others
11410-AND,Male,80,No,Andhra Pradesh,1,4,None,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,101.55,5070.4,0,0,1217.16,6287.56,Stayed,Others,Others
11450-HAR,Male,60,Yes,Haryana,5,18,None,Yes,No,Yes,Cable,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,75.55,4707.85,0,0,398.79,5106.64,Stayed,Others,Others
11464-WES,Male,25,No,West Bengal,12,5,None,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.85,1992.55,0,0,522.06,2514.61,Stayed,Others,Others
11472-PUN,Female,33,No,Punjab,8,6,Deal 5,Yes,No,Yes,Cable,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,55.4,55.4,0,0,13.01,68.41,Churned,Competitor,Competitor had better devices
11474-TEL,Male,59,Yes,Telangana,0,18,None,Yes,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.6,661.55,0,0,189.99,851.54,Stayed,Others,Others
11510-KER,Female,46,No,Kerala,10,4,None,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.9,827.45,0,0,277.2,1104.65,Stayed,Others,Others
11535-WES,Male,43,No,West Bengal,5,23,Deal 2,No,No,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,58.75,3038.55,0,0,0,3038.55,Stayed,Others,Others
11540-DEL,Male,63,Yes,Delhi,15,15,Deal 2,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.1,5135.15,0,0,2288.43,7423.58,Stayed,Others,Others
11540-MAH,Female,50,Yes,Maharashtra,6,20,Deal 2,No,No,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,46.2,2431.95,0,0,0,2431.95,Stayed,Others,Others
11543-WES,Female,35,Yes,West Bengal,0,7,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.4,874.8,0,0,375.48,1250.28,Churned,Other,Deceased
11965-BIH,Female,38,Yes,Bihar,4,21,Deal 3,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,-8,3204.65,35.82,110,1074.24,4353.07,Churned,Competitor,Competitor made better offer
11987-PUN,Female,43,No,Punjab,14,6,None,Yes,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,69.45,477.05,0,0,132.37,609.42,Stayed,Others,Others
11991-RAJ,Male,66,Yes,Rajasthan,14,15,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Bank Withdrawal,113.35,7222.75,0,20,437.12,7679.87,Stayed,Others,Others
12016-TAM,Female,57,Yes,Tamil Nadu,0,9,Deal 5,Yes,No,No,None,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.05,164.85,0,0,337.54,502.39,Churned,Other,Moved
